,name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
355,edward welsh,westfield state university,,,2003,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
356,topaz wiscons,california state university sacramento,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
357,jaco stroebel,university of pretoria,,,,A Only,man,highered,international,moreri,south africa,,,math,mathstat,FALSE,,FALSE
358,francis su,harvey mudd college,1964,17,1995,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
359,chiheon kim,kakao brain,35,3,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
360,vanessa rivera quiä_ä__ones,university of illinois,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
361,cheryl grood,swarthmore college,,,1998,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
362,megan e sawyer,southern new hampshire university,,,2013,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
363,jennifer v jones,fairleigh dickinson university,,,,A Only,woman,,domesticother,lessri,,,,,,FALSE,,FALSE
364,rachel weir,allegheny college,,,2001,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
365,nina fefferman,university of tennessee,1963,19,,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
366,amber verser,bowling green state university,,,,A Only,woman,highered,domesticr2,lessri,,grad,lesssecure,other,other ,FALSE,,FALSE
367,frederick peck,university of montana,266,9,2015,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
368,paul salomon,john burroughs school,,,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
369,aram dermenjian,york university,,,,A Only,man,highered,international,moreri,canada,grad,lesssecure,math,mathstat,FALSE,,FALSE
370,noah weiss,university of wisconsin eau claire,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
371,jasmine foo,university of minnesota,2268,22,2008,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,157,FALSE
372,makeda brome,fort pierce westwood high school,,,,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
373,jonathan k hodge,grand valley state university,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
374,joshua holden,rose hulman institute of technology,,,1998,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
375,maria basterra,university of new hampshire,344,8,1998,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,122,FALSE
376,bill rosenthal,city university of new york,,,,A Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,0,FALSE
377,erica r miller,virginia commonwealth university,,,2018,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
378,stuart boersma,central washington university,,,1994,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
379,julie seitz,youngstown state university,,,,A Only,woman,highered,domesticother,lessri,,staff,lesssecure,math,mathstat,FALSE,,FALSE
380,eileen murray,montclair state university,96,6,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
381,sharona krinsky,california state university los angeles,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
382,brooke shipley,university of illinois at chicago,3242,23,1995,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1290,FALSE
383,kyle ferendo,brown university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
384,jordan kostiuk,brown university,,,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
385,philip hotchkiss,westfield state university,,,1994,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
386,anita o'mellan,youngstown state university,,,1993,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
387,matilde marcolli,california institute of technology,3812,32,1997,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1061,FALSE
388,omayra ortega,sonoma state university,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
389,scott beaver,western oregon university,,,2004,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
390,rebecca segal,virginia commonwealth university,600,12,2001,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
391,jennifer a wolfe,university of arizona,,,2016,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,mathed,mathed,FALSE,,FALSE
392,mark w ellis,california state university fullerton,548,11,2005,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
393,steven greenstein,montclair state university,48,4,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
394,cynthia flores,california state university channel islands,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
395,alejandra rincä_ä__n hidalgo,ictp,,,,A Only,woman,highered,international,moreri,italy,ntt,lesssecure,math,mathstat,FALSE,,FALSE
396,stephanie baker,university of texas at austin,,,2016,A Only,woman,highered,domesticr1,moreri,,staff,lesssecure,mathed,mathed,FALSE,,FALSE
397,rami grossberg,carnegie mellon university,1039,18,1986,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,371,FALSE
398,john f gibson,university of new hampshire,2465,14,1971,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
399,alissa crans,loyola marymount university,769,11,2004,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
400,j toufic chahin,university of texas at austin,,,2006,A Only,man,highered,domesticr1,moreri,,grad,,mathed,mathed,FALSE,,FALSE
401,nitsa movshovitz hadar,technion israel institute of technology,1182,17,1975,A Only,woman,highered,international,moreri,israel,retired,moresecure,math,mathstat,FALSE,,FALSE
402,mary k porter,saint marys college of indiana,,,1996,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
403,allison henrich,seattle university,228,9,2008,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
404,ranjan rohatgi,saint marys college of indiana,,,2016,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
405,tarik aougab,haverford college,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
406,julianne vega,university of kentucky,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
407,selenne baä_ä__uelos,california state university channel islands,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
408,david neel,seattle university,,,2002,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
409,calvin jongsma,dordt university,,,1982,A Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
410,jonathan dunbar,st norbert college,,,2011,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
411,anne catlla,wofford college,,,2005,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
412,christopher miles,new york university,17,3,2018,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
413,ellen veomett,saint marys college of california,,,2007,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
414,emma gargroetzi,stanford university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,mathed,mathed,FALSE,,FALSE
415,mark beering,el sausal middle school,,,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
416,monica l miles,cornell university,,,,A Only,woman,highered,domesticr1,moreri,,,,other,other ,FALSE,,FALSE
417,anurag katyal,palm beach state college,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
418,lee worden,university of california san francisco,280,10,2003,A Only,man,highered,domesticr1,moreri,,,,other,other ,FALSE,,FALSE
419,virgil u pierce,university of northern colorado,,,2004,A Only,man,highered,domesticother,lessri,,staff,lesssecure,math,mathstat,FALSE,,FALSE
420,carrie muir,whatcom community college,,,,A Only,woman,highered,domesticother,lessri,,,,math,mathstat,FALSE,,FALSE
421,aditya p adiredja,university of arizona,44,5,2014,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
422,simon kelly,santa clara university,,,,A Only,man,,,,,,,,,FALSE,,FALSE
423,immanuel williams,cal poly san luis obispo,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,stat,mathstat,FALSE,,FALSE
424,alexander s moore,virginia tech,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,mathed,mathed,FALSE,,FALSE
425,julian f fleron,westfield state university,,,1994,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
426,gage martin,boston college,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
427,gabriela hamerlinck,university of florida,70,3,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,other,other ,FALSE,,FALSE
428,jieun seong,georgia institute of technology,,,,A Only,,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
429,fany salazar,university of arizona,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
430,hassan rafique,university of iowa,56,3,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
431,jill bigley dunham,chapman university,91,2,2009,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
432,sonja petrovic,illinois institute of technology,535,12,2008,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
433,moshe cohen,suny new paltz,124,5,2010,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
434,christina eubanks turner,loyola marymount university,,,,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
435,stephanie chang,GoDaddy,,,,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
436,rafael monteiro,advanced institute for materials research,24,4,2015,A Only,man,highered,international,moreri,japan,,,math,mathstat,FALSE,,FALSE
437,elisa celis,yale university,,,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,stat,mathstat,FALSE,,FALSE
438,maarten mckubre jordens,university of canterbury,60,4,2010,A Only,man,highered,international,moreri,new zealand,ntt,lesssecure,other,other ,FALSE,,FALSE
439,elizabeth niese,marshall university,20,3,2010,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
440,keith m jones,suny oneonta,,,1970,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
441,dany waller,morehead state university,,,,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
442,juan villeta garcia,emory university,,,2017,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
443,diana davis,swarthmore college,90,5,2013,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
444,sarah k salmon,university of colorado,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
445,joshua cooper,university of south carolina,800,12,2003,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,272,FALSE
446,rebecca garcia,sam houston state university,,,2009,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
447,christopher marcotte,university of exeter,,,1993,A Only,man,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat,FALSE,,FALSE
448,andrea young,ripon college,,,2008,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
449,jennifer schaefer,dickinson college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
450,russell brown,university of kentucky,1449,22,1987,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,698,FALSE
451,sean sather wagstaff,clemson university,1075,19,2000,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,538,FALSE
452,julie rana,lawrence university,,,2014,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
453,soledad villar,new york university,232,7,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,stat,mathstat,FALSE,,FALSE
454,brittney miller,coe college,,,2016,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
455,kristin kuter,saint marys college of indiana,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
456,sarah wright,fitchburg state university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
457,benjamin cote,western oregon university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
458,alexander rasmussen,yale university,,,2015,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
459,jean philippe chasse,university of montreal,,,,A Only,man,highered,international,moreri,canada,grad,lesssecure,math,mathstat,FALSE,,FALSE
460,jonathan beardsley,georgia institute of technology,38,4,2016,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
461,taylor e martin,sam houston state university,,,2013,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
462,peter kagey,university of southern california,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
463,crystal clough,university of cincinnati,,,2009,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
464,yang xiao,brown university,,,2013,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
465,aisha mechery,bryn mawr college,,,,A Only,woman,highered,domesticother,lessri,,undergrad,lesssecure,math,mathstat,FALSE,,FALSE
466,isaac sundberg,bryn mawr college,,,,A Only,man,highered,domesticother,lessri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
467,eileen melville,clemson university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
468,jeremy f alm,lamar university,,,2006,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
469,hillary einziger,university of cincinnati,,,2010,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
470,kayden mimmack,university of california davis,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
471,ricardo cortez,tulane university,3325,23,1995,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,635,FALSE
472,derek l smith,,,,1999,A Only,man,,,,,,,,,FALSE,,FALSE
473,carmen caprau,california state university fresno,,,2007,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
474,mitch haeuser,iowa state university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
475,benjamin levitt,triinstitutional mdphd program,,,2006,A Only,man,highered,domesticother,lessri,,staff,lesssecure,stat,mathstat,FALSE,,FALSE
476,jennifer kenkel,university of kentucky,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
477,sean raleigh,westminster college utah,,,2010,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
478,jan cameron,vassar college,,,2009,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
479,jonathan alcaraz,university of california riverside,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
480,abba gumel,arizona state university,4880,37,1994,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,851,FALSE
481,stephan sturm,worcester polytechnic institute,172,6,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
482,lisa demeyer,central michigan university,,,2000,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
483,sarah a nelson,lenoirrhyne university,,,2009,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
484,megan breit goodwin,anokaramsey community college,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
485,john nardini,north carolina state university,61,4,2018,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
486,wendy m smith,university of nebraska,,,2000,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
487,jim hartman,college of wooster,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
488,areeba ikram,colorado school of mines,,,2018,A Only,woman,highered,domesticr2,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
489,alexis byers,youngstown state university,,,2018,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
490,lindsey bosko dunbar,st norbert college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
491,bianca viray,university of washington,,,2010,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
492,adam castillo,florida international university,,,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
493,rodrigo gutierrez,university of arizona,6,2,,A Only,man,highered,domesticr1,moreri,,,,math,mathstat,FALSE,,FALSE
494,christina edholm,scripps college,124,5,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
495,carter johnson,university of california davis,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
496,ellen gasparovic,union college,,,2012,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
497,gabriel dorfsman hopkins,university of california berkeley,,,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
498,"eric ""rico"" gutstein",university of illinois at chicago,3603,22,2012,A Only,man,highered,domesticr1,moreri,,professor,moresecure,mathed,mathed,FALSE,,FALSE
499,klaus volpert,villanova university,,,1989,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
500,vitaly lorman,university of rochester,,,2016,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
501,kathryn link,university of utah,73,5,2004,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
502,matthias kawski,arizona state university,1585,19,1986,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,223,FALSE
503,tony samuel,university of birmingham,,,,A Only,man,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat,FALSE,,FALSE
504,cathery yeh,chapman university,236,5,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
505,ana rita pires,university of edinburgh,,,2010,A Only,woman,highered,international,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
506,axel brandt,northern kentucky university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
507,ihsan topaloglu,virginia commonwealth university,238,7,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
508,audrey malagon,virginia wesleyan university,,,2009,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
509,john rock,cal poly pomona,,,2007,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
510,jeffrey x watt,indiana u purdue u indianapolis,,,1989,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
511,kayla gibson,university of iowa,,,,A Only,woman,highered,domesticr1,moreri,,undergrad,lesssecure,math,mathstat,FALSE,,FALSE
512,anila yadavalli,university of minnesota,,,2019,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
513,michael ruddy,max planck institute for mathematics in the sciences,,,2019,A Only,man,highered,international,moreri,germany,ntt,lesssecure,math,mathstat,FALSE,,FALSE
514,nathan ryan,bucknell university,125,6,2004,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
515,bruce reznick,university of illinois,2891,24,1976,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,836,FALSE
516,marcella gomez,university of california santa cruz,161,6,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
517,lori ziegelmeier,macalester college,,,2013,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
518,katie ansaldi,wabash college,,,2016,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
519,heather zinn brooks,university of california los angeles,25,3,2018,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
520,timothy j huber,university of texas rio grande valley,,,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
521,adam avilez,mesa community college,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
522,johnny guzman,brown university,1815,25,2005,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
523,breeanne swart,the citadel,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
524,ricela feliciano semidei,northern illinois university,,,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
525,richard mcgehee,university of minnesota,,,1969,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,473,FALSE
526,asamoah nkwanta,morgan state university,211,8,1997,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
527,douglas norton,villanova university,,,1989,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
528,gloria mari beffa,university of wisconsin,,,1991,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,299,FALSE
529,jianzhong su,university of texas at arlington,,,1990,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,2,FALSE
530,megan cream,lehigh university,,,2015,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
531,keivan hassani monfared,university of calgary,41,3,2014,A Only,man,highered,international,moreri,canada,ntt,lesssecure,math,mathstat,FALSE,,FALSE
532,jenny switkes,cal poly pomona,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
533,christopher tweddle,governors state university,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
534,berit givens,cal poly pomona,,,2003,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
535,john h johnson jr,ohio state university,36,5,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
536,matt davis,muskingum university,,,2010,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
537,rodrigo trevino,university of maryland,104,5,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
538,marie snipes,kenyon college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
539,william malone,temecula valley unified school district,,,2010,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
540,melissa sutherland,suny geneseo,578,14,1998,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
541,rose uscanga,oklahoma state university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
542,diane henderson,pennsylvania state university,,,1990,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,150,FALSE
543,victor ocasio gonzalez,university of puerto rico,,,2014,A Only,man,highered,domesticr2,lessri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
544,megan selbach allen,stanford university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,,,FALSE,,FALSE
545,cvetelina hill,georgia institute of technology,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
546,dustin ross,san francisco state university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
547,juan b gutierrez,university of texas at san antonio,912,14,2009,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
548,semra kilic bahi,colby sawyer college,53,4,1994,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
549,kate poirier,city university of new york,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
550,justin r peters,iowa state university,,,,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,303,FALSE
551,brian birgen,wartburg college,,,1997,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
552,kyle besing,kentucky wesleyan college,,,2015,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
553,hong qin,university of tennessee at chattanooga,,,2002,A Only,man,highered,domesticother,lessri,,associate,moresecure,comp,other ,FALSE,,FALSE
554,robert lemke oliver,tufts university,158,8,2013,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
555,ben blum smith,new school,,,2017,A Only,man,highered,domesticr2,lessri,,,,math,mathstat,FALSE,,FALSE
556,clara buck,iowa state university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
557,emily clader,san francisco state university,,,2014,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
558,taylor short,grand valley state university,20,3,2016,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
559,ximena catepillan,millersville university,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
560,angie hodge,northern arizona university,,,,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,mathed,mathed,FALSE,,FALSE
561,danny bernard martin,university of illinois at chicago,3914,27,1997,A Only,man,highered,domesticr1,moreri,,professor,moresecure,mathed,mathed,FALSE,,FALSE
562,fumiko futamura,southwestern university,,,2007,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
